Account,Date,daily_PnL,win_rate,avg_trade_size,num_trades,long_short_ratio,value,classification
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-11,1901.6318190000002,1.0,1947.8190384615384,52,1.8888888888888888,47.0,Neutral
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-12,1747.1899090000002,1.0,1623.5340845070423,71,0.5777777777777777,46.0,Neutral
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-13,5096.967096,1.0,1561.7910256410255,156,0.7528089887640449,50.0,Neutral
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-14,-1818.156466,0.015625,1363.292951807229,166,0.6116504854368932,48.0,Neutral
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-15,3822.79759,1.0,1798.402076923077,130,2.3333333333333335,50.0,Neutral
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-16,321.733978,0.8636363636363636,1193.8803703703704,54,0.2558139534883721,54.0,Neutral
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-17,111.69658399999999,0.631578947368421,1591.1465562913907,151,0.9868421052631579,51.0,Neutral
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-18,3935.153067,0.8305647840531561,1823.6225390625,512,0.7902097902097902,47.0,Neutral
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-19,5930.986467,0.9913793103448276,1708.6227586206896,406,0.7276595744680852,44.0,Fear
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-20,819.221222,0.7654320987654321,1142.087962962963,162,0.7802197802197802,49.0,Neutral
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-21,4483.141317,1.0,1669.3589019607844,255,0.7832167832167832,55.0,Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-22,1391.928432,1.0,1097.3101666666666,60,0.7647058823529411,49.0,Neutral
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-23,383.135241,1.0,2283.7915555555555,45,2.4615384615384617,50.0,Neutral
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-24,-10373.274402000001,0.2716049382716049,1398.9927284946236,744,0.837037037037037,49.0,Neutral
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-25,-23384.358492,0.5073947667804323,1441.9933982947625,1642,0.7320675105485233,25.0,Fear
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-26,2617.069579,0.7804878048780488,1509.370609137056,394,1.2906976744186047,21.0,Extreme Fear
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-27,2886.786952,0.6005586592178771,1449.1966998577525,703,0.8897849462365591,10.0,Extreme Fear
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-28,2642.770468,1.0,1355.6750662251654,302,0.6236559139784946,16.0,Extreme Fear
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-03-01,446.358633,1.0,1384.9447058823528,51,2.4,20.0,Extreme Fear
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-03-02,2576.6453030000002,1.0,1921.2604901960785,102,0.45714285714285713,26.0,Fear
